Test Image: 221_05.jpg -> Matched: 221_01.jpg | Correct: True
Test Image: 209_04.jpg -> Matched: 209_01.jpg | Correct: True
Test Image: 209_10.jpg -> Matched: 209_01.jpg | Correct: True
Test Image: 217_04.jpg -> Matched: 217_01.jpg | Correct: True
Test Image: 217_10.jpg -> Matched: 216_01.jpg | Correct: False
Test Image: 217_05.jpg -> Matched: 217_01.jpg | Correct: True
Test Image: 209_05.jpg -> Matched: 209_01.jpg | Correct: True
Test Image: 221_04.jpg -> Matched: 221_01.jpg | Correct: True
Test Image: 221_10.jpg -> Matched: 221_01.jpg | Correct: True
Test Image: 221_06.jpg -> Matched: 221_01.jpg | Correct: True
Test Image: 207_02.jpg -> Matched: 207_01.jpg | Correct: True
Test Image: 209_07.jpg -> Matched: 209_01.jpg | Correct: True
Test Image: 217_07.jpg -> Matched: 216_01.jpg | Correct: False
Test Image: 217_06.jpg -> Matched: 217_01.jpg | Correct: True
Test Image: 209_06.jpg -> Matched: 209_01.jpg | Correct: True
Test Image: 207_03.jpg -> Matched: 207_01.jpg | Correct: True
Test Image: 221_07.jpg -> Matched: 221_01.jpg | Correct: True
Test Image: 221_03.jpg -> Matched: 221_01.jpg | Correct: True
Test Image: 209_02.jpg -> Matched: 209_01.jpg | Correct: True
Test Image: 207_07.jpg -> Matched: 207_01.jpg | Correct: True
Test Image: 217_02.jpg -> Matched: 217_01.jpg | Correct: True
Test Image: 217_03.jpg -> Matched: 217_01.jpg | Correct: True
Test Image: 207_06.jpg -> Matched: 207_01.jpg | Correct: True
Test Image: 209_03.jpg -> Matched: 209_01.jpg | Correct: True
Test Image: 221_02.jpg -> Matched: 221_01.jpg | Correct: True
Test Image: 207_10.jpg -> Matched: 207_01.jpg | Correct: True
Test Image: 207_04.jpg -> Matched: 207_01.jpg | Correct: True
Test Image: 207_05.jpg -> Matched: 207_01.jpg | Correct: True
Test Image: 214_09.jpg -> Matched: 214_01.jpg | Correct: True
Test Image: 214_08.jpg -> Matched: 214_01.jpg | Correct: True
Test Image: 216_09.jpg -> Matched: 216_01.jpg | Correct: True
Test Image: 216_08.jpg -> Matched: 216_01.jpg | Correct: True
Test Image: 214_03.jpg -> Matched: 214_01.jpg | Correct: True
Test Image: 216_06.jpg -> Matched: 216_01.jpg | Correct: True
Test Image: 216_07.jpg -> Matched: 216_01.jpg | Correct: True
Test Image: 214_02.jpg -> Matched: 214_01.jpg | Correct: True
Test Image: 216_05.jpg -> Matched: 216_01.jpg | Correct: True
Test Image: 216_10.jpg -> Matched: 216_01.jpg | Correct: True
Test Image: 216_04.jpg -> Matched: 216_01.jpg | Correct: True
Test Image: 214_05.jpg -> Matched: 214_01.jpg | Correct: True
Test Image: 214_10.jpg -> Matched: 214_01.jpg | Correct: True
Test Image: 214_04.jpg -> Matched: 214_01.jpg | Correct: True
Test Image: 214_06.jpg -> Matched: 214_01.jpg | Correct: True
Test Image: 216_03.jpg -> Matched: 216_01.jpg | Correct: True
Test Image: 216_02.jpg -> Matched: 216_01.jpg | Correct: True
Test Image: 214_07.jpg -> Matched: 214_01.jpg | Correct: True
Test Image: 207_08.jpg -> Matched: 207_01.jpg | Correct: True
Test Image: 207_09.jpg -> Matched: 207_01.jpg | Correct: True
Test Image: 221_09.jpg -> Matched: 221_01.jpg | Correct: True
Test Image: 209_08.jpg -> Matched: 209_01.jpg | Correct: True
Test Image: 217_08.jpg -> Matched: 217_01.jpg | Correct: True
Test Image: 217_09.jpg -> Matched: 216_01.jpg | Correct: False
Test Image: 209_09.jpg -> Matched: 209_01.jpg | Correct: True
Test Image: 221_08.jpg -> Matched: 221_01.jpg | Correct: True

Final Accuracy: 94.44% (51/54)
